producer;title;size;price;unit_price;url
OSM SIERPC;SIERPC Ser Królewski w plastrach 150 g;;;;https://mamyito.pl/produkt/sierpc-ser-krolewski-w-plastrach-150-g
ITALIAN PAPER SP. Z O.O.;SŁONIK JUMBO Ręcznik kuchenny 2 szt.;;;;https://mamyito.pl/produkt/recznik-kuchenny-2-szt-slonik-jumbo-250g
;MULTIPAK Pepsi 1,5l x2 + Lay's 130g papryka;;;;https://mamyito.pl/produkt/pepsi-x2-lays-paprykowe-multipak
;MULTIPAK Pepsi 1,5l x3;;;;https://mamyito.pl/produkt/pepsi-x3-multipak
;MULTIPAK Pepsi zero 1,5l x3;;;;https://mamyito.pl/produkt/pepsi-zero-x3-multipak
;MULTIPAK Pepsi 1,5l + Lay's papryka 130g + Lay's zielona cebulka 130g;;;;https://mamyito.pl/produkt/pepsi-lays-papryka-lays-zielona-cebulka-multipak
;MULTIPAK Pepsi 1,5l + 7up 1,5l + Mirinda 1,5;;;;https://mamyito.pl/produkt/pepsi-7up-mirinda-multipak
PAMAPOL S.A.;GOONG Makaron ryżowy nitki Vermicelli 200 g;;;;https://mamyito.pl/produkt/makaron-ryzowy-nitki-vermicelli-goong-200g
MONDELEZ POLSKA SP. Z O.O.;3BIT Baton w czekoladzie mlecznej z nadzieniem mlecznym i herbatnikiem 46 g;;;;https://mamyito.pl/produkt/baton-w-czekoladzie-mlecznej-z-nadzieniem-mlecznym-i-herbatnikiem-3bit-46g
PEPSI COLA GENERAL BOTTLERS POLAND SP. Z O.O.;7UP Napój gazowany o smaku cytrynowo-limonkowym 1500 ml;;;;https://mamyito.pl/produkt/napoj-gazowany-o-smaku-cytrynowo-limonkowym-7up-1500ml
ORBICO SP. Z O.O.;ACE Wybielacz klasyczny 1000 ml;;;;https://mamyito.pl/produkt/ace-wybielacz-klasyczny-1000-ml
ORBICO SP. Z O.O.;ACE Wybielacz o zapachu cytrynowym 1000 ml;;;;https://mamyito.pl/produkt/ace-wybielacz-o-zapachu-cytrynowym-1000-ml
AHMAD TEA LTD;AHMAD TEA Herbata czarna Earl Grey 20 szt. 40 g;;;;https://mamyito.pl/produkt/herbata-czarna-earl-grey-20-szt-ahmad-tea-40g
