recipe_id,ingredient_id,amount,unit
46,37,60,g
46,29,50,g
46,25,10,ml
46,33,1,g
46,5,1,g
46,6,0.5,g
47,49,50,g
47,14,300,ml
47,55,150,g
47,50,200,g
47,10,15,g
47,27,1,g
47,5,0.5,g
48,40,60,g
48,14,250,ml
48,41,150,ml
48,8,200,g
48,16,25,g
48,9,1,g
48,10,10,g
48,5,0.5,g
49,68,200,g
49,45,150,g
49,44,5,g
49,5,1,g
49,6,0.5,g
49,19,5,ml
49,17,2,plastry
50,1,3,szt
50,62,20,g
50,63,60,g
50,3,150,g
50,25,10,ml
50,5,1,g
50,6,0.5,g
51,7,70,g
51,14,250,ml
51,39,5,g
51,16,20,g
51,15,120,g
51,10,10,g
51,9,1,g
51,5,0.5,g
52,1,4,szt
52,57,200,g
52,37,80,g
52,46,80,g
52,29,60,g
52,25,10,ml
52,58,5,g
52,5,2,g
52,6,1,g
53,65,80,g
53,14,400,ml
53,41,200,ml
53,38,150,g
53,13,15,g
53,10,15,g
53,27,1,g
53,5,1,g
54,17,4,plastry
54,72,160,g
54,73,80,g
54,22,60,g
54,29,40,g
54,64,60,g
54,19,10,ml
54,58,5,g
54,5,1,g
54,6,0.5,g
55,11,150,g
55,1,2,szt
55,24,80,g
55,23,4,g
55,27,1,g
55,53,150,g
55,25,10,ml
55,10,15,g
55,5,0.5,g
56,20,200,g
56,11,50,g
56,66,150,g
56,67,20,g
56,10,10,g
56,9,1,g
57,18,200,g
57,1,2,szt
57,63,40,g
57,19,5,ml
57,5,1,g
57,6,0.5,g
58,55,200,g
58,38,150,g
58,69,15,g
58,13,10,g
58,10,10,g
58,9,1,g
59,1,2,szt
59,14,50,ml
59,24,30,g
59,39,7,g
59,15,120,g
59,10,10,g
59,2,10,g
59,5,0.5,g
60,34,2,szt
60,1,3,szt
60,46,80,g
60,31,150,g
60,37,80,g
60,29,50,g
60,25,10,ml
60,33,1,g
60,5,1.5,g
60,6,0.5,g
61,17,4,plastry
61,20,200,g
61,22,40,g
